13:54:34 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:34 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:34 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:34 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:34 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:2
13:54:34 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:34 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:34 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:34 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:2
13:54:34 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:35 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:35 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:35 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:35 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:35 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:35 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:36 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:37 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:38 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:38 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:38 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:38 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:38 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:38 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:38 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:39 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:39 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:39 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:39 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:39 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:40 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:41 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:41 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:41 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.FeedCrawler - fetching feeds...
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
